City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Praia da Vitoria,40,PT,1553229982,93,38.73,-27.07,59.0,7.63
Gavle,32,SE,1553230026,55,60.67,17.14,30.0,5.01
Westport,92,IE,1553230324,88,53.8,-9.52,52.0,3.0
Chapais,90,CA,1553230020,97,49.78,-74.86,33.8,8.05
Pavlivka,36,UA,1553230581,91,48.13,39.54,36.67,8.19
Aktau,0,KZ,1553229000,100,43.65,51.16,42.8,6.71
Sur,12,OM,1553230582,81,22.57,59.53,76.9,5.17
Chuy,20,UY,1553230505,95,-33.69,-53.46,54.49,3.27
Jalu,24,LY,1553230582,42,29.03,21.55,70.87,16.69
Cap Malheureux,40,MU,1553230441,74,-19.98,57.61,84.2,9.17
Torbay,90,CA,1553230555,63,47.66,-52.73,30.0,11.41
Airai,56,TL,1553230583,75,-8.93,125.41,80.86,2.37
Hermanus,68,ZA,1553229980,88,-34.42,19.24,63.0,5.01
Cidreira,64,BR,1553230583,81,-30.17,-50.22,62.68,6.4
Upernavik,24,GL,1553230583,100,72.79,-56.15,-15.09,2.82
Leningradskiy,32,RU,1553230584,83,69.38,178.42,-13.38,2.15
Busselton,0,AU,1553230549,35,-33.64,115.35,80.01,21.5
Naze,80,NG,1553230584,97,5.43,7.07,74.47,5.84
Murgab,75,TM,1553227200,87,37.5,61.97,48.2,9.17
Binga,0,ZW,1553230584,69,-17.62,27.34,79.33,6.73
Sao Miguel do Araguaia,80,BR,1553230390,98,-13.28,-50.16,72.4,3.38
Yeppoon,0,AU,1553227200,36,-23.13,150.74,91.4,8.05
Los Llanos de Aridane,48,ES,1553230502,63,28.66,-17.92,62.6,17.22
North Bend,1,US,1553230530,93,43.41,-124.22,48.2,2.15
Brae,80,GB,1553228400,93,60.4,-1.35,48.2,27.51
Butaritari,88,KI,1553230586,100,3.07,172.79,81.76,13.67
Nantucket,90,US,1553230554,93,41.28,-70.1,44.01,14.99
Saint George,20,GR,1553230401,86,39.45,22.34,51.01,3.36
Mizdah,24,LY,1553230586,93,31.45,12.98,48.46,3.49
Dikson,0,RU,1553230587,100,73.51,80.55,2.29,10.54
Tasiilaq,88,GL,1553226600,78,65.61,-37.64,17.6,33.33
Viedma,24,AR,1553230587,58,-40.81,-62.99,56.29,11.77
Manggar,64,ID,1553230587,100,-2.88,108.27,80.59,7.18
Vaini,0,IN,1553227200,20,15.34,74.49,86.0,3.36
Salalah,75,OM,1553226600,69,17.01,54.1,77.0,3.36
Lompoc,40,US,1553230501,100,34.64,-120.46,52.0,3.36
Mitsamiouli,20,KM,1553227200,74,-11.38,43.28,78.8,5.82
Meybod,0,IR,1553227200,52,32.25,54.02,46.4,6.93
Wenling,92,CN,1553230415,83,28.38,121.38,52.0,16.46
Souillac,0,FR,1553230578,93,45.6,-0.6,41.0,1.12
Hof,1,DE,1553230586,100,50.32,11.92,43.0,2.82
Cape Town,0,ZA,1553230376,72,-33.93,18.42,64.4,16.11
Lavrentiya,80,RU,1553230590,92,65.58,-170.99,7.06,38.95
Berlevag,20,NO,1553226600,100,70.86,29.09,32.0,21.92
Miandrivazo,20,MG,1553230591,92,-19.53,45.46,77.35,3.94
Sungaipenuh,32,ID,1553230368,94,-2.08,101.38,73.75,0.92
Houma,88,CN,1553230591,40,35.63,111.36,51.61,3.71
Yellowknife,20,CA,1553230374,68,62.45,-114.38,37.0,11.41
Dingle,0,PH,1553230591,37,11.0,122.67,92.38,10.76
Chokurdakh,0,RU,1553230592,71,70.62,147.9,-5.82,7.74
Narsaq,20,GL,1553226600,45,60.91,-46.05,1.4,9.17
Kilembe,8,UG,1553230592,91,0.2,30.01,72.76,3.83
Clyde River,90,CA,1553228040,75,70.47,-68.59,-18.41,9.17
Kichmengskiy Gorodok,68,RU,1553230593,88,59.99,45.81,31.9,7.29
Port Alfred,80,ZA,1553230384,90,-33.59,26.89,63.0,3.0
Kamiiso,75,JP,1553227200,48,41.82,140.65,41.0,29.97
Maniitsoq,24,GL,1553230593,100,65.42,-52.9,-7.98,8.41
Coahuayana,32,MX,1553230593,66,18.62,-100.35,62.23,1.48
Lagoa,0,PT,1553230331,81,37.14,-8.45,52.0,8.05
Nanortalik,80,GL,1553230594,100,60.14,-45.24,22.45,15.46
Ilulissat,24,GL,1553226600,52,69.22,-51.1,-11.21,17.22
Ponta do Sol,92,BR,1553230595,97,-20.63,-46.0,64.3,9.75
Tiarei,75,PF,1553230392,74,-17.53,-149.33,82.4,5.82
Jamestown,64,AU,1553230595,71,-33.21,138.6,78.7,3.04
Arraial do Cabo,80,BR,1553230595,88,-22.97,-42.02,78.79,15.23
Lorengau,24,PG,1553230596,98,-2.02,147.27,83.47,8.3
Ewo,92,CG,1553230596,97,-0.88,14.81,68.98,2.37
Emerald,12,AU,1553230517,36,-23.53,148.16,93.2,13.87
Mbekenyera,80,TZ,1553230596,75,-10.0,38.98,78.88,3.27
Ribeira Grande,88,PT,1553230596,97,38.52,-28.7,60.97,8.75
Te Anau,0,NZ,1553230597,67,-45.41,167.72,66.64,2.37
Dakar,20,SN,1553225400,88,14.69,-17.45,68.0,12.75
Rocha,44,UY,1553230597,85,-34.48,-54.34,48.19,2.15
Mill Valley,90,US,1553230591,93,37.91,-122.55,54.0,5.39
Thompson,20,CA,1553227200,67,55.74,-97.86,19.4,4.7
Abidjan,75,CI,1553229000,94,5.32,-4.02,77.0,3.36
Port Hawkesbury,90,CA,1553230544,92,45.62,-61.36,33.01,9.17
Provideniya,76,RU,1553227200,46,64.42,-173.23,10.4,13.42
Yinchuan,0,CN,1553230598,40,38.48,106.21,48.46,3.71
Komsomolskiy,8,RU,1553230599,91,67.55,63.78,21.73,5.39
Port Hardy,75,CA,1553227200,81,50.7,-127.42,48.2,2.71
Iberia,92,PE,1553230599,86,-11.41,-69.49,74.11,3.38
Pevek,0,RU,1553230599,79,69.7,170.27,-12.39,1.59
Pueblo,1,US,1553230519,61,38.25,-104.61,50.0,9.17
Cabo San Lucas,5,MX,1553230075,49,22.89,-109.91,71.6,6.51
Carnarvon,0,ZA,1553230600,67,-30.97,22.13,52.15,11.65
Ponta Delgada,75,PT,1553230587,87,37.73,-25.67,57.2,1.12
Hithadhoo,56,MV,1553230600,100,-0.6,73.08,84.91,8.08
Shelui,44,TZ,1553230601,95,-4.36,34.2,68.35,4.27
Vila Velha,20,BR,1553229673,88,-3.71,-38.6,81.0,3.36
Clacton-on-Sea,90,GB,1553230594,93,51.79,1.16,50.0,6.93
Saint-Philippe,90,CA,1553230588,93,45.36,-73.48,37.99,9.17
Sambava,32,MG,1553230601,100,-14.27,50.17,83.38,13.22
Ilo,8,PE,1553230602,97,-17.65,-71.34,57.28,2.71
Longyearbyen,75,NO,1553226600,73,78.22,15.63,26.6,26.4
Portland,20,US,1553230181,87,45.52,-122.67,53.6,3.36
Capao da Canoa,92,BR,1553230602,100,-29.75,-50.01,72.94,11.21
Lakatoro,92,VU,1553230602,90,-16.11,167.42,82.48,6.51
Alta Floresta,44,BR,1553230603,93,-9.87,-56.08,74.47,1.81
Wajir,75,KE,1553227200,74,1.75,40.07,80.6,6.93
Buala,12,SB,1553230603,84,-8.15,159.59,84.73,4.5
Tevaitoa,32,PF,1553230603,100,-16.78,-151.5,82.93,8.75
Burkburnett,1,US,1553230525,47,34.1,-98.57,57.99,3.36
Dawei,0,MM,1553230604,34,14.07,98.19,94.81,3.15
Fortuna,0,ES,1553230579,65,38.18,-1.13,48.2,5.82
Ngunguru,20,NZ,1553229484,69,-35.62,174.5,72.0,7.0
Maragogi,0,BR,1553230605,97,-9.01,-35.22,75.82,9.53
Valverde del Camino,0,ES,1553230328,74,37.57,-6.75,48.99,5.01
Staryy Nadym,32,RU,1553230605,92,65.61,72.68,26.5,10.54
Aviemore,20,GB,1553230505,71,57.19,-3.83,52.0,23.04
Port Blair,8,IN,1553230606,97,11.67,92.75,84.73,9.19
San Pedro,0,AR,1553229813,88,-33.68,-59.66,55.0,1.99
Mogadishu,40,SO,1553227200,69,2.04,45.34,82.4,10.29
Iqaluit,40,CA,1553230371,68,63.75,-68.52,-18.01,8.05
Barrow,56,AR,1553230608,73,-38.31,-60.23,52.69,10.87
New Norfolk,75,AU,1553230575,77,-42.78,147.06,68.0,8.05
Vostok,68,RU,1553230609,53,46.45,135.83,19.84,6.4
Abu Zabad,0,SD,1553230609,20,12.35,29.25,75.19,12.77
Quatre Cocos,40,MU,1553230441,74,-20.21,57.76,84.2,9.17
Aripuana,44,BR,1553230609,97,-9.17,-60.63,75.19,1.92
Aquiraz,20,BR,1553230585,88,-3.9,-38.39,81.0,3.36
Samarai,56,PG,1553230610,100,-10.62,150.67,82.93,12.55
Gat,20,SN,1553225400,88,14.69,-16.54,68.0,12.75
Magadan,80,RU,1553230610,98,59.56,150.8,23.35,22.5
Khorramshahr,0,IR,1553227200,59,30.43,48.18,60.8,2.24
Lima,0,PE,1553230507,83,-12.06,-77.04,69.8,9.17
Escanaba,90,US,1553230197,69,45.75,-87.06,37.99,12.75
Beyneu,8,KZ,1553230611,88,45.32,55.19,41.98,4.72
Tiksi,68,RU,1553230611,66,71.64,128.87,12.19,16.58
Mayo,20,CA,1553227200,56,63.59,-135.9,41.0,6.93
Kapaa,20,US,1553230393,69,22.08,-159.32,77.0,12.75
Zhigansk,80,RU,1553230612,71,66.77,123.37,8.68,16.02
Riyadh,20,SA,1553227200,54,24.63,46.72,57.2,3.36
Staroutkinsk,80,RU,1553230613,85,57.23,59.33,35.14,3.71
Beloha,20,MG,1553230613,68,-25.17,45.06,82.21,9.19
Merrill,0,US,1553230525,52,42.03,-121.6,39.0,2.37
Alice Springs,0,AU,1553227200,16,-23.7,133.88,98.6,11.41
Victoria,75,BN,1553227200,62,5.28,115.24,93.2,5.82
Port-Cartier,90,CA,1553229967,86,50.03,-66.88,30.2,5.82
Nishihara,75,JP,1553230533,30,35.74,139.53,73.99,9.17
Flinders,75,AU,1553230544,61,-34.58,150.85,79.0,6.93
Kavieng,24,PG,1553230615,100,-2.57,150.8,85.09,2.71
Tarskoye,75,RU,1553227200,86,42.97,44.77,41.0,8.95
Coquimbo,0,CL,1553227200,87,-29.95,-71.34,53.6,9.17
Ginir,0,ET,1553230615,35,7.14,40.71,76.36,4.16
Bowen,75,AU,1553230508,70,-20.01,148.25,84.2,13.87
Whitehorse,75,CA,1553230124,61,60.72,-135.06,46.4,11.41
Port Elizabeth,90,US,1553230601,100,39.31,-74.98,48.99,9.17
Vila,0,IT,1553230572,55,45.18,8.4,45.0,3.36
Munak,0,IN,1553230617,60,29.52,76.85,78.16,10.42
Constitucion,0,MX,1553230617,37,23.99,-104.67,49.36,8.19
Ayolas,0,PY,1553230617,93,-27.39,-56.84,60.79,8.97
Malumfashi,64,NG,1553230617,77,11.79,7.62,72.04,10.76
Basco,1,US,1553230538,65,40.33,-91.2,45.0,5.82
Norilsk,80,RU,1553230618,97,69.35,88.2,21.19,4.05
Santa Fe,12,AR,1553230513,88,-31.62,-60.7,62.01,4.16
Poum,0,MK,1553230619,86,41.28,20.71,33.79,1.81
Howard Springs,75,AU,1553230444,69,-12.5,131.05,87.01,13.87
Qaqortoq,32,GL,1553226600,45,60.72,-46.03,1.4,9.17
Terrace,75,CA,1553227200,66,54.52,-128.61,48.2,3.36
Mahebourg,40,MU,1553230441,74,-20.41,57.7,84.2,9.17
Nouakchott,40,MR,1553229000,88,18.08,-15.98,64.4,12.75
Faanui,76,PF,1553230620,100,-16.48,-151.75,84.28,7.96
Plainview,40,US,1553230351,49,34.18,-101.71,55.99,4.7
Kilindoni,92,TZ,1553230621,99,-7.91,39.67,83.83,8.52
Iskateley,48,RU,1553230621,81,67.68,53.15,19.12,3.49
Cangzhou,0,CN,1553230621,61,38.3,116.85,54.4,9.31
Antofagasta,40,CL,1553227200,82,-23.65,-70.4,62.6,4.7
Trat,20,TH,1553230499,62,12.25,102.51,93.0,6.93
Kota,0,IN,1553227200,34,25.17,75.86,80.6,2.24
Amambai,80,BR,1553230622,95,-23.11,-55.23,66.82,4.94
Nikolskoye,0,RU,1553230535,74,59.7,30.79,34.0,24.61
Nakhon Phanom,0,LA,1553227200,49,17.4,104.79,93.2,4.7
Malanje,0,AO,1553230623,92,-9.54,16.35,65.92,2.48
Baton Rouge,1,US,1553230544,67,30.45,-91.15,57.2,8.05
Saint-Augustin,0,FR,1553230561,80,44.83,-0.61,41.0,4.7
Kolpashevo,76,RU,1553230623,84,58.31,82.9,29.83,8.75
Tura,0,IN,1553230623,57,25.52,90.21,81.04,1.7
Galesong,20,ID,1553227200,66,-5.32,119.37,89.6,9.17
Reftinskiy,90,RU,1553227200,88,57.09,61.68,32.0,2.24
Tokur,0,RU,1553230624,38,53.13,132.9,9.67,4.27
Minot,1,US,1553230177,68,48.23,-101.3,32.0,6.29
Vila do Maio,0,CV,1553227200,72,15.13,-23.22,68.0,12.75
Beringovskiy,12,RU,1553230625,88,63.05,179.32,1.84,21.72
Saskylakh,76,RU,1553230625,85,71.97,114.09,6.34,17.69
Port Said,44,EG,1553230625,41,25.34,30.55,63.04,4.94
San Carlos de Bariloche,40,AR,1553227200,81,-41.13,-71.31,51.8,17.22
Kaitangata,32,NZ,1553230625,80,-46.28,169.85,64.75,4.94
Guerrero Negro,20,MX,1553230626,88,27.97,-114.04,56.2,13.44
Hobyo,68,SO,1553230626,76,5.35,48.53,81.49,13.67
Abashiri,75,JP,1553228466,74,44.01,144.25,28.4,17.22
Liepaja,0,LV,1553228400,93,56.52,21.02,37.4,3.36
Vista Hermosa,88,MX,1553230627,92,17.8,-97.76,54.13,2.71
Punta Alta,0,AR,1553227200,63,-27.46,-55.82,62.6,6.93
Faya,0,SA,1553227200,54,18.39,42.45,62.6,6.93
Jati,0,PK,1553230628,26,24.35,68.27,88.42,8.97
Kavaratti,0,IN,1553230628,100,10.57,72.64,84.1,9.19
Sorong,36,ID,1553230489,100,-0.86,131.25,82.57,9.98
Kalabo,0,ZM,1553230629,38,-15.0,22.67,75.19,8.19
Kruisfontein,24,ZA,1553230629,87,-34.0,24.73,62.86,6.17
Inuvik,90,CA,1553229600,78,68.36,-133.71,12.2,9.17
Mandalgovi,12,MN,1553230629,87,45.76,106.27,27.58,13.22
Vestmannaeyjar,88,IS,1553230629,100,63.44,-20.27,35.41,24.07
Touros,20,BR,1553227200,94,-5.2,-35.46,77.0,5.82
Oussouye,32,SN,1553230630,98,12.49,-16.54,68.98,12.21
Halifax,90,CA,1553230266,100,44.65,-63.58,34.0,8.05
Panaba,0,MX,1553230630,71,21.28,-88.27,67.18,4.94
Bartow,1,US,1553230628,72,27.9,-81.84,62.6,5.82
Esperance,20,TT,1553230507,83,10.24,-61.45,75.2,5.95
Villa Carlos Paz,0,AR,1553229080,87,-31.42,-64.5,59.0,9.17
Santa Rosa,0,AR,1553230633,71,-36.62,-64.29,55.48,12.77
Bethel,90,US,1553226960,88,60.79,-161.76,39.2,12.75
Porto de Moz,68,BR,1553230634,93,-1.75,-52.24,76.9,4.72
Mount Isa,0,AU,1553227200,32,-20.73,139.49,95.0,13.87
Boo,12,NG,1553230634,88,7.44,8.9,75.19,9.42
Namatanai,48,PG,1553230635,100,-3.66,152.44,83.11,1.59
Pangnirtung,8,CA,1553230635,36,66.15,-65.72,-24.63,7.63
Petrolina,75,BR,1553227200,83,-9.38,-40.5,77.0,2.24
Atar,64,MR,1553230635,28,20.52,-13.05,64.66,2.71
Palu,88,ID,1553230636,81,-0.9,119.87,75.91,1.36
Marzuq,0,YE,1553230636,14,14.4,46.47,76.36,3.83
Paidha,12,UG,1553230636,80,2.42,30.99,77.53,4.05
Punta Cardon,0,VE,1553230636,79,11.61,-70.22,76.63,15.35
Issoire,0,FR,1553229000,69,45.54,3.25,37.4,9.17
Norman Wells,20,CA,1553227200,68,65.28,-126.83,30.2,16.11
Vao,0,EE,1553230637,73,59.1,26.19,32.35,17.36
Muros,0,ES,1553230608,87,42.77,-9.06,50.0,4.7
San Jose,0,PH,1553230638,46,15.79,120.99,88.15,3.04
Waipawa,24,NZ,1553230097,72,-39.94,176.59,69.01,5.99
Saint-Ambroise,90,FR,1553230627,100,47.25,-0.65,41.0,4.7
Coihaique,90,CL,1553227200,76,-45.58,-72.07,53.6,4.7
Redmond,20,US,1553230634,71,47.67,-122.12,52.0,4.7
Petropavlovsk-Kamchatskiy,32,RU,1553227200,67,53.05,158.65,23.0,6.71
Male,88,UA,1553230640,88,50.74,33.7,37.39,11.99
Noumea,0,NC,1553229000,48,-22.28,166.46,87.8,5.82
Bay Roberts,90,CA,1553230555,63,47.58,-53.28,30.0,11.41
Codrington,75,AU,1553227200,69,-28.95,153.24,84.2,11.41
Basqal,90,AZ,1553227200,87,40.75,48.39,44.6,1.7
Aksha,68,RU,1553230641,29,50.28,113.29,27.58,13.67
Baiyin,20,CN,1553227200,32,36.55,104.13,41.0,4.47
Pangkalanbuun,36,ID,1553230641,81,-2.68,111.62,89.5,5.5
Honningsvag,20,NO,1553226600,89,70.98,25.97,32.0,21.92
Agirish,0,RU,1553230641,69,61.92,63.02,34.33,3.6
Taos,92,US,1553229978,97,36.41,-105.57,39.0,3.6
Saint Anthony,1,US,1553230535,69,43.97,-111.68,42.01,3.36
Charleston,90,US,1553230345,87,38.35,-81.63,46.99,9.17
Itarema,88,BR,1553230642,99,-2.92,-39.92,74.11,2.93
Jutai,92,BR,1553230642,97,-1.71,-47.89,73.84,2.37
Pangoa,92,PE,1553230643,98,-12.12,-73.0,64.84,1.92
San Ignacio,0,CL,1553227200,87,-36.8,-72.03,55.4,5.82
Russell,0,AR,1553227200,51,-33.01,-68.8,62.6,0.81
Buenavista,40,CO,1553227200,100,4.36,-75.74,66.2,5.82
Yerbogachen,92,RU,1553230644,73,61.28,108.01,25.42,11.21
Vilhena,88,BR,1553230644,92,-12.74,-60.15,72.31,2.59
Port Macquarie,44,AU,1553230505,61,-31.43,152.91,81.0,10.29
Biscarrosse,90,FR,1553230561,93,44.41,-1.18,39.2,4.94
Ahipara,56,NZ,1553230645,69,-35.17,173.16,73.3,5.39
Bitung,40,ID,1553229000,70,1.44,125.19,87.8,11.41
Anadyr,0,RU,1553230396,76,64.73,177.51,-11.01,13.42
Camacha,75,PT,1553227200,59,33.08,-16.33,60.8,17.22
Sabang,76,PH,1553230646,75,13.72,123.58,82.66,6.96
Waitati,44,NZ,1553230646,87,-45.75,170.57,64.66,2.71
Adrar,0,DZ,1553227200,43,27.87,-0.29,51.8,10.29
Bilibino,0,RU,1553230646,60,68.06,166.44,0.49,2.37
Devonport,32,AU,1553230324,70,-41.18,146.36,73.99,8.01
Saldanha,0,PT,1553230647,82,41.42,-6.55,26.23,3.04
Kirakira,0,SB,1553230647,100,-10.46,161.92,84.82,7.63
Shelton,1,US,1553230643,87,47.22,-123.1,51.8,8.05
Masvingo,92,ZW,1553230647,96,-20.08,30.83,64.57,4.83
Lander,40,US,1553230016,66,42.83,-108.73,44.6,9.17
Metro,56,ID,1553230648,89,-5.11,105.31,84.55,4.05
Urubicha,64,BO,1553230648,83,-15.63,-63.08,68.98,2.71
Hualmay,32,PE,1553230648,93,-11.1,-77.61,66.1,3.83
Bandarbeyla,8,SO,1553230649,100,9.49,50.81,77.89,6.29
Maun,0,BW,1553227200,44,-19.99,23.42,77.0,9.17
Tandur,0,IN,1553230649,54,19.18,79.43,89.41,4.83
Pavlohrad,0,UA,1553229000,80,48.53,35.87,33.8,4.47
Kuytun,20,RU,1553230649,58,54.34,101.51,34.96,4.27
Chitrakonda,0,IN,1553230650,40,18.12,82.08,88.87,3.04
Aykhal,68,RU,1553230650,80,65.95,111.51,21.28,10.2
Dehloran,0,IR,1553230650,35,32.69,47.27,63.4,4.5
Krasnoarmeysk,40,RU,1553229650,86,56.12,38.15,36.0,8.95
Shimoda,75,JP,1553229773,60,34.7,138.93,69.8,11.41
Bambous Virieux,40,MU,1553230441,74,-20.34,57.76,84.2,9.17
Iracoubo,32,GF,1553230651,93,5.48,-53.21,74.56,3.71
Qandala,0,SO,1553230651,41,11.47,49.87,82.03,3.15
Hit,44,IQ,1553230651,36,33.64,42.83,62.68,4.38
Nimaparha,0,IN,1553229000,79,20.07,86.02,87.8,5.82
Khuzhir,24,RU,1553230652,70,53.19,107.35,26.59,4.38
Dovolnoye,24,RU,1553230652,100,54.5,79.67,27.67,10.76
Les Cayes,24,HT,1553230652,100,18.19,-73.75,76.09,7.85
Orsha,90,BY,1553227200,93,54.51,30.43,41.0,13.42
Lakselv,68,NO,1553230507,68,70.05,24.96,32.0,29.97
Nampula,40,MZ,1553227200,94,-15.12,39.26,73.4,5.82
Okha,48,RU,1553230653,86,53.59,142.95,10.39,9.53
Galle,1,US,1553230643,62,29.74,-97.91,64.99,3.36
Fare,32,PF,1553230653,100,-16.7,-151.02,82.93,8.75
Barretos,32,BR,1553230654,97,-20.55,-48.57,67.36,9.19
Clarence Town,40,AU,1553230237,69,-32.59,151.78,82.0,11.41
Sao Joao da Barra,80,BR,1553230613,100,-21.64,-41.05,78.34,20.04
Xam Nua,0,LA,1553230654,35,20.42,104.04,85.27,3.38
Poltavka,44,RU,1553230654,100,54.36,71.76,31.72,4.27
Chervishevo,75,RU,1553227200,86,56.95,65.43,33.8,4.47
Simnas,0,LT,1553230655,82,54.38,23.65,37.21,17.47
Codajas,24,BR,1553230655,93,-3.84,-62.06,76.36,2.82
Kulhudhuffushi,0,MV,1553230655,98,6.62,73.07,84.73,11.77
Tommot,8,RU,1553230656,53,58.97,126.27,11.56,3.71
Ballina,92,IE,1553230623,89,54.11,-9.15,52.0,17.0
Teguldet,44,RU,1553230656,69,57.31,88.17,33.43,9.31
Hamilton,90,CA,1553230504,99,43.26,-79.87,41.0,8.05
Marsa Matruh,40,EG,1553227200,82,31.35,27.25,57.2,4.7
Nara,75,JP,1553230597,54,34.68,135.8,55.99,17.22
Launceston,75,AU,1553230537,49,-41.43,147.14,75.99,3.36
Minab,92,IR,1553229000,83,27.15,57.07,71.6,3.71
Walvis Bay,90,NA,1553227328,87,-22.95,14.51,61.0,10.29
Kintampo,44,GH,1553230658,95,8.05,-1.73,69.79,6.4
Mwingi,32,KE,1553230658,77,-0.93,38.07,72.58,4.38
Wuwei,0,CN,1553230658,52,37.93,102.64,39.91,5.5
Gusau,44,NG,1553230543,77,12.17,6.66,73.39,8.63
Port-Gentil,88,GA,1553230658,100,-0.72,8.78,79.06,7.74
Muisne,44,EC,1553230659,96,0.61,-80.02,69.79,2.48
Melo,44,UY,1553230659,85,-32.37,-54.17,50.89,3.6
Macedonia,90,US,1553230576,86,41.31,-81.51,39.0,10.29
Atambua,36,ID,1553230659,92,-9.11,124.89,84.64,9.64
San Matias,75,HN,1553227200,68,13.97,-86.63,68.0,13.87
Felanitx,20,ES,1553230581,100,39.47,3.15,55.99,9.17
Porto Walter,48,BR,1553230660,95,-8.27,-72.74,74.29,2.15
Natal,20,BR,1553227200,88,-5.81,-35.21,78.8,4.7
Severo-Kurilsk,88,RU,1553230660,100,50.68,156.12,26.59,27.87
Katangli,80,RU,1553230660,95,51.71,143.23,14.08,16.13
Broome,0,GB,1553230657,100,52.47,1.45,51.01,8.05
Sept-Iles,90,CA,1553229967,86,50.2,-66.38,30.2,5.82
Nouadhibou,75,MR,1553227200,88,20.93,-17.03,64.4,11.41
Rio Gallegos,75,AR,1553227200,87,-51.62,-69.22,51.8,6.93
Aleksandrov Gay,92,RU,1553230662,100,50.14,48.57,34.42,4.16
Darhan,0,MN,1553230662,44,49.49,105.92,28.66,5.84
Kidal,36,ML,1553230662,17,18.44,1.41,60.52,10.65
Limbang,75,BN,1553227200,52,4.75,115.01,93.2,6.93
Vanimo,36,PG,1553230662,99,-2.67,141.3,82.75,18.7
San Juan,20,PR,1553230554,69,18.47,-66.12,77.0,10.42
Hami,0,CN,1553230664,47,42.84,93.51,52.96,3.38
Chimoio,75,MZ,1553227200,100,-19.11,33.48,69.8,6.93
Socorro,0,PH,1553229018,73,13.06,121.41,84.99,3.0
Rognan,40,NO,1553230548,69,67.1,15.4,37.0,18.34
Plettenberg Bay,0,ZA,1553230665,100,-34.05,23.37,63.4,2.37
Tarm,80,DK,1553230624,100,55.91,8.53,44.01,2.24
Northam,36,GB,1553230632,87,51.04,-4.21,48.99,6.93
Barahona,0,DO,1553230666,100,18.21,-71.1,77.44,5.73
Kaz,0,RU,1553230666,55,53.11,87.55,46.48,3.6
Tiruchchendur,40,IN,1553227200,55,8.48,78.12,89.6,6.93
Richards Bay,92,ZA,1553230666,100,-28.77,32.06,68.71,5.28
Togur,76,RU,1553230666,84,58.36,82.83,29.83,8.75
Montepuez,24,MZ,1553230667,100,-13.13,39.0,75.73,4.5
